Looking Up,"

Echoes, calling from a distance
Let go, I see your soul shining
Beautiful, so beautiful you don't deserve this
So pure, baby your precious

And they say that time will come
You won't have to prove your strong
Cause deep down your scars
Your heart remains to be that of a warrior

Cause there might be tears rolling down my face
But I'm happy your free
Free from a pain
I remind myself, keep my head to the sky
Looking up
I'll be looking up

So long, waiting for someone like you
For so long but only to let go
And I know one day we'll meet again
And so I hold on so there's no goodbyes

They say that time will come
You won't have to prove your strong
Cause deep down your scars
Your heart remains to be that of a warrior

Cause there might be tears rolling down my face
But I'm happy your free
Free from a pain
I remind myself keep my head to the sky
Looking up
I'll be looking up

No more emptiness
Another loneliness
I hope there in the sun
You remind us how you shine
And its gonna keep me warm
Through the cold and lonely nights

Cause it might be tears rolling down my face
But I'm happy your free
Free from a pain
I remind myself keep my head to the sky
I'll be looking up
I'll be looking up

Cause it might be tears rolling down on my face
But I'm happy your free
Free from a pain
I remind myself keep my head to the sky
Looking up
I'll be looking up
",Kyle Echarri
Got To Believe In Magic,"

Take me to your heart
Show me where to start
Let me play the part of your first love
All the stars are right
Ev'ry wish is ours tonight
My love

Pity those who wait
Trust in love to faith
Findin' out too late that they've lost it
Never letting go
They will never know the ways of love

Got to believe in magic
Tell me how two people find each other
In a world that's full of strangers
You've got to believe in magic
Somethin' stronger than the moon above
'Cause it's magic when two people fall in love

I may never know
Why I need you so
All I need to know is this feeling
Handle it with care
We were born to share this dream
My love

Got to believe in magic
Tell me how two people find each other
In a world that's full of strangers
You've got to believe in magic
Somethin' stronger than the moon above
'Cause it's magic when two people fall in love

Got to believe in magic
Tell me how two people find each other
In a world that's full of strangers
You've got to believe in magic
Somethin' stronger than the moon above
'Cause it's magic when two people fall in love
Somethin' stronger than the moon above
'Cause it's magic when two people fall in love
",Kyle Echarri
Hero,"

Would you dance
If I asked you to dance?
Would you run
And never look back?
Would you cry
If you saw me crying?
Would you save my soul, tonight?

Would you tremble
If I touched your lips?
Would you laugh?
Oh please, tell me this
Now would you die
For the one you loved?
Hold me in your arms, tonight

I can be your hero, baby
I can kiss away the pain
I will stand by you forever
You can take my breath away

Would you swear
That you'll always be mine?
Or would you lie?
Would you run and hide?
Am I in too deep?
Have I lost my mind?
I don't care, you're here tonight

I can be your hero, baby
I can kiss away the pain
I will stand by you forever
You can take my breath away

Oh, I just want to hold you
I just want to hold you
Oh, yeah
Am I in too deep?
Have I lost my mind?
I don't care, you're here tonight

I can be your hero, baby
I can kiss away the pain, oh yeah
I will stand by you forever
You can take my breath away

I can be your hero!
I can kiss away the pain!
And I will stand by you forever
You can take my breath away
You can take my breath away
I can be your hero
",Kyle Echarri
Pangako,"

Pangako sa'yo mahati man ang mundo't magkahiwalay tayo
Gagawan ko ng tulay para magkita tayo
Pangako sayo dumaan man ang bagyo para guluhin tayo
Hinding hindi tatangayin ng hangin ang pag-ibig ko

Lilipad tayo sa kalawakan
Iiwan na natin ang mundo
Makikipagsayawan sa mga tala
Basta't may ikaw at ako ay sayo
Ang pag-ibig ko
Ang pag-ibig mo
Pinagtugma ng langit para sa atin
Pangako lahat bibigay sayo
Pangako ko sa'yo
Pangako ko sa'yo

Dahil sayo ako'y naging matapang at lumalaban
Kahit na anong harapin kaya ng dahil sa'yo
Para sa'yo balutin man ang mundo ng kadiliman
Ang magsisilbing ilaw ay ang pag-ibig ko sa'yo

Lilipad tayo sa kalawakan
Iiwan na natin ang mundo
Makikipagsayawan sa mga tala
Basta't may ikaw at ako ay sayo
Ang pag-ibig ko
Ang pag-ibig mo
Pinagtugma ng langit para sa atin
Pangako lahat bibigay sayo
Pangako ko sa'yo
Pangako ko sa'yo

Di ka iiwan
Di bibitawan
Panghabang-buhay na pagmamahal

Lilipad tayo sa kalawakan
Iiwan na natin ang mundo
Makikipagsayawan sa mga tala
Basta't may ikaw at ako ay sayo

Lilipad tayo sa kalawakan
Iiwan na natin ang mundo
Makikipagsayawan sa mga tala
Basta't may ikaw at ako ay sayo
Ang pag-ibig ko
Ang pag-ibig mo
Pinagtugma ng langit para sa atin
Pangako lahat bibigay sayo
Pangako ko sa'yo
Pangako ko sa'yo
Pangako ko sa'yo
Pangako ko sa'yo
",Kyle Echarri
Huwag Na Muna Ngayon,"

Sa umpisa pa lang
Nang una kang makita
Pagpasok sa eskuwela
Iba ang nadama

At nang makasama ka
Lalo pa kitang nakilala
O kay saya pa ang
makadama ng pag-ibig

Parang tama ang nararamdaman
Parang tamang 'di na natin pigilan
Parang 'di naman tayo masasaktan
Kung susubukan

Pero huwag na muna ngayon (huwag na muna ngayon)
Pagkat 'di pa panahon ('di pa panahon)
Darating din ang pagkakataon na maging tayo
Pero huwag na muna ngayon

Nakakasama ka
Pati sa 'king problema
Gumagaan ang lahat
Sa tuwing nandito ka

Kaya't masasabi ko
Ikaw na nga't ako

Parang tama ang nararamdaman
Parang tamang 'di na natin pigilan
Parang 'di naman tayo masasaktan
Kung susubukan

Pero huwag na muna ngayon (huwag na muna ngayon)
Pagkat 'di pa panahon ('di pa panahon)
Darating din ang pagkakataon na maging tayo
Pero huwag na muna ngayon
",Kyle Echarri
Mixed Signal (Version 1),"

Mmhm, mmhm
Uh yeah
Yeah

Seems like 24/7 we're on the phone
You keep saying that you gotta go, but you don't
I know you know you've got me
On a temporary high
'Cause when I take a step closer
You run and hide, yeah
Got me hooked just from your smile

But you keep giving me mi-i-i-i-ixed signals
I'm just here for some rea-ea-ea-ea-eal loving
Ain't no time for some mi-i-i-i-ixed signals
Girl, I just wanna love you
Oh, won't you let me love you, ooh ooh

You and I, we've got our little inside jokes
And you know I'm here for ya
When you feel alone
And I wanna be careful so I'll take it slow, ooh
But there's a lot more to ya
That I wanna get to know

You know my love ain't just for show

But you keep giving me mi-i-i-i-ixed signals
I'm just here for some rea-ea-ea-ea-eal loving
Ain't no time for some mi-i-i-i-ixed signals
Girl, I just wanna love you
Oh, won't you let me love you, ooh ooh yeah

Oh, won't you let me love you

Don't you think it's time we crossed the line
Can't wait to tell everybody
That you're mine
But even if I say these things just know I'm he-ere
To make you laugh, to wipe away your tears

But you keep giving me mi-i-i-i-ixed signals
I'm just here for some rea-ea-ea-ea-eal loving
Ain't no time for some mi-i-i-i-ixed signals
Girl, I just wanna love you
Oh, won't you let me love you, ooh ooh yeah
",Kyle Echarri
Pagtingin Na,"

'Di namalayan kung s'an nagsimula
'Di maalala kung anong salita
Ang naging sanhi ng pagkahulog
Ng puso ko sa'yo
Bakit sa tuwing ikaw ay malapit
Mga mata sayo'y 'di mangangawit
Ang hiling pa nga'y makapiling
Mapalapit ka pa sa akin

Nagtatanong naguguluhan
Ano bang nararamdaman?
Bakit gan'on sa tuwing nakikita
'Di mapalagay o 'di makatawa
Ramdam ang kaba sa tuwing lumalapit ka
Ang puso ko'y nabihag mo na
Kaba sa dibdib ay pagtingin na

'Di inaasahang magkakaganito
Kala'y kaibigan lang ang turing sa'yo
Ano ba ang nangyayari
Kaba ko'y ikaw ang sanhi

Nagtatanong naguguluhan
Ano bang nararamdaman?
Bakit gan'on sa tuwing nakikita
'Di mapalagay o 'di makatawa
Ramdam ang kaba sa tuwing lumalapit ka
Ang puso ko'y nabihag mo na
Kaba sa dibdib ay pagtingin na

Na 'di maiwasan
Sa tuwing ikaw ay nandyan
O hindi parin malaman
Ano bang nararamdaman?
Bakit gan'on sa tuwing nakikita
'Di mapalagay o 'di makatawa
Ramdam ang kaba sa tuwing lumalapit ka
Ang puso ko'y nabihag mo na
Kaba sa dibdib ay pagtingin na

Bakit gan'on sa tuwing nakikita
'Di mapalagay o 'di makatawa
Ramdam ang kaba sa tuwing lumalapit ka
Ang puso ko'y nabihag mo na
Kaba sa dibdib ay pagtingin na
Pagtingin na
",Kyle Echarri
What,"

Oh oh, ooh woh
Mmm nah
Mmm

Nakita kitang naglalakad sa kanto
Mula noo'y 'di naalis ang isip ko sa'yo
Nag-aalangan pa nga, naiinis ako
Sa susunod 'di ko na palalampasin ito

Wala namang masama
Kung nais kong malaman ang iyong pangalan
Wala namang masama
Kung nagtatanong lang ako
Wala namang masama
Kung gusto ka sanang makilala

Wala namang masama
Wala namang masama

Gusto lang malaman ang pangalan mo
At gusto kong sabihin na ang ganda mo
Kung gustong makilala, eto number ko
Oh oh, ooh woh
Anong pangalan mo?

Oh oh, ooh woh
Anong pangalan mo?

Lumapit na 'ko kahit pa nahihiya
'Di bale na kahit kahit kahit kahit mapahiya
'Di pa nakakalapit, umuurong na
Humingang malalim, at nag-isip
Pero sabi ko ay heto na

Wala namang masama
Kung nais kong malaman ang iyong pangalan
Wala namang masama
Kung nagtatanong lang ako
Wala namang masama
Kung gusto ka sanang makilala

Wala namang masama
Wala namang masama

Gusto lang malaman ang pangalan mo
At gusto kong sabihin na ang ganda mo
Kung gustong makilala, eto number ko
Oh oh, ooh woh
Anong pangalan mo?

Wala namang masama
Kung nais kong malaman ang iyong pangalan
Wala namang masama
Kung nagtatanong lang ako
Wala namang masama
Kung gusto ka sanang makilala

Wala namang masama
Wala namang masama

Gusto lang malaman ang pangalan mo
At gusto kong sabihin na ang ganda mo
Kung gustong makilala, eto number ko
Oh oh, ooh woh
Anong pangalan mo?

Anong pangalan mo?
Mmm, hmm
",Kyle Echarri
I,"

Yeah yeah, yeah yeah
Yeah yeah, oh

Girl, I am serious
I've been searching for the one to be my girl
Yeah I've be searching for the one to rule my world
You're the only girl that's on my mind
No, baby girl, I never lie, no

Girl, I promise
I swear your loving is the only thing I know
And when you're far I wanna kiss you through the phone
Imma hold you tight and hold you close
You're the one I want and need the most
When I feel your love you really make me go

Girl I am, girl I am, girl I am serious
Girl I am, girl I am, girl I am serious
Girl I am, girl I am tryna be the one who holds your hand and gives you love

Girl I am, girl I am, girl I am serious
Girl I am, girl I am, girl I am serious
Girl I am, girl I am tryna be the one who holds your hand and gives you love

Sit down, relax, lemme ease your mind now
Give you all my time if you are mine now
If loyalty is all you want, baby I'll give you my all

Yeah I know, I know that it ain't that easy but
It ain't luck either I ain't a genie
Giving you love is so easy
All you ever do is please me
Lovin' feels so right with you, baby

Girl I am, girl I am, girl I am serious
Girl I am, girl I am, girl I am serious
Girl I am, girl I am tryna be the one who holds your hand and gives you love

Girl I am, girl I am, girl I am serious
Girl I am, girl I am, girl I am serious
Girl I am, girl I am tryna be the one who holds your hand and gives you love

Lay down
Relax
Unwind now
Be mine now

Girl I am, girl I am, girl I am serious
Girl I am, girl I am, girl I am serious
Girl I am, girl I am tryna be the one who holds your hand and gives you love

Girl I am, girl I am, girl I am serious
Girl I am, girl I am, girl I am serious
Girl I am, girl I am tryna be the one who holds your hand and gives you love
",Kyle Echarri
Dyosa,"

Ang ganda ganda mo Mi amor
Sayo na ang aking corazÃ³n
Mahal nga kita
At ikaw lamang ya ya
Para kang hatid saakin ng dyos
Para bang sayo ang aking puso
Ikaw lang ang Siyang nais kong iibigin
At talagang walang makakapigil

Filipina Kailangan kita
Kung alam mo lang mahal na mahal kita
Ibibigay ko ang lahat sayo
Pangakong simpleng tao lang ako

Isa kang angel sa aking mga mata (mga mata)
At wala na ngang iba kung di ikaw sinta
Sa mata mo palang ako'y nabibighani na
Mahal na mahal kita o aking dyosa

Ang ganda mo ganda bonita
Ikaw lang ang tanging hinahanap
Ako ay nabibighani na
Sa iyong katawan
Tila parang di mo nakikita
Ang sarili mong kagandahan
Dahan dahan mamahalin
Basta't ako'y sayo at ika'y akin

Isa kang angel sa aking mga mata (mga mata)
At wala na ngang iba kung di ikaw sinta
Sa mata mo palang ako'y nabibighani na
Mahal na mahal

Hindi ko mapigilan aking nadarama
Sa tuwing ikaw ay nakikita
Ako ay nahuhulog parin
Di ko maiwasan tumingin sa iyong liwanag
Tuwing ako'y nalulungkot ikaw ang aking hinahanap
Kahit sa dami ng babae sa buong mundo
Ikaw ang tanging hinahanap ng puso ko
Di ko na kailangan maghanap ng iba
Tayo hanggang dulo
Sigurado na ako sayo ang aking puso
Sinabi ko naman sayo Lilipad na sa kalawakan
Kahit na anong gawin
Ika'y aking mahal
Ipapangako ko sayo lahat ng gagawin ko ay para Lang sayo

Isa kang angel sa aking mga mata (mga mata)
At wala na ngang iba kung di ikaw sinta
Sa mata mo palang ako'y nabibighani na
Mahal na mahal kita o aking dyosa
Isa kang angel sa aking mga mata (mga mata)
At wala na ngang iba kung di ikaw sinta
Sa mata mo palang ako'y nabibighani na
Mahal na mahal kita o aking dyosa
",Kyle Echarri
Mahal Nga Kita,"

Ayoko ng isipin na ika'y
Mawawala mawawala
Ayoko ng umibig kung hindi para sayo ang Pagmamahal
Pagmamahal ko

Hindi pa sapat wag ka munang umalis jan ka lang
Dito sa harap ko
Di ba sabi nila
Kung para sayo ay para sa iyo
Ayoko ng malito

Eto na love sasabihin ko sayo ang totoo
Kundi mo matanto
Mahal nga kita
Walang ibang laman ang puso ko sinta
Kundi ikaw

Ayoko ng maghintay
Gusto ko na ika'y akin lang
Ayoko ng maghintay
Pwede bang sayo na nga ako

Wag na natin patagalin
Alam na natin ang damdamin
Natin para sa isa't isa
Di na tayo mangangamba

Wag ka munang umalis jan ka lang
Dito sa harap ko
Di ba sabi nila
Kung para sayo ay para sa iyo
Ayoko ng malito

Eto na love sasabihin ko sayo ang totoo
Kundi mo matanto
Mahal nga kita
Walang ibang laman ang puso ko sinta
Kundi ikaw

Pinagarap na noon
Na ika'y makasama
Na ika'y maging akin na
Ipapangako ko sayo
Na sayo lang ang pagibig ko
1 2 3

Sa dinami-dami ng babaeng nakilala ko
Sa iyo ko lang naramdaman ang ganitong pagkalito
Pinana pa ni Kupido ang puso kong litong-lito
Sige, tawa na lang ako, hindi ko gets ang biro mo
Kahit nagpapakatanga, basta't makitang masaya
Kahit madami man kaming lalake na pantasya ka
Kahit na pila-pila pa, bakit ba, sino ba sila?
Tatlong taon 'kang kakilala, bakit, sino ba sila?
'Eto na, sasabihin, ko na ba?
Lalakad ko na ba sa iyo itong mga paa?
Teka lang, lalong nabighani sa iyong ganda
Sana hindi mawala kung anong meron tayong dalawa

Eto na love sasabihin ko sayo ang totoo
Kundi mo matanto
Mahal nga kita
Walang ibang laman ang puso ko sinta
Kundi ikaw

Eto na love sasabihin ko sayo ang totoo
Kundi mo matanto
Mahal nga kita
Walang ibang laman ang puso ko sinta
Kundi ikaw
",Kyle Echarri
